Name,Ticker,Cur Debt & Cap Lease Oblig (mil) FY 1 Inc Statement Currency,Cur Debt & Cap Lease Oblig (mil) Last FY Qtr Inc Statement Currency,Currency Adjustment (mil) FY (3 Mo) Inc Statement Currency,Currency Adjustment (mil) FY 1 Inc Statement Currency,Currency Adjustment (mil) FY Cum (6 Mo) Inc Statement Currency,Currency Adjustment (mil) FY Cum (9 Mo) Inc Statement Currency,Currency Adjustment (mil) Last FY Qtr Inc Statement Currency,Current Assets (mil) (FY Qtr End) Inc Statement Currency,Current Assets (mil) FY 1 Inc Statement Currency,Current Assets (mil) FY 1 Inc Statement Currency,Current Assets (mil) Last FY Qtr Inc Statement Currency,Current Cap Lease Oblig (mil) FY 1 Inc Statement Currency,Current Cap Lease Oblig (mil) Last FY Qtr Inc Statement Currency,Current Debt (mil) FY 1 Inc Statement Currency,Current Debt (mil) Last FY Qtr Inc Statement Currency,Current Def Tax Assets (mil) FY 1 Inc Statement Currency,Current Def Tax Assets (mil) Last FY Qtr Inc Statement Currency,Current Def Tax Liabilities (mil) FY 1 Inc Statement Currency,Current Def Tax Liabilities (mil) Last FY Qtr Inc Statement Currency,Current Liabilities (mil) (FY Qtr End) Inc Statement Currency,Current Liabilities (mil) FY 1 Inc Statement Currency,Current Liabilities (mil) Last FY Qtr Inc Statement Currency,Current Liabilities Yr 1 in Mil Inc Statement Currency,Current Ratio (FY Qtr End),Current Ratio FY 1,Current Return %,Debt to Equity (FY Qtr End),Debt to Equity FY 1,Debt to Equity FY 2,Debt to Total Cap FY 1,Debt to Total Cap FY 2,Debt to Total Capital (FY Qtr End),Deferred Liabilities (mil) FY 1 Inc Statement Currency,Deferred Liabilities (mil) Last FY Qtr Inc Statement Currency,Deferred Revenues (mil) FY 1 Inc Statement Currency,Deferred Revenues (mil) Last FY Qtr Inc Statement Currency,Deferred Tax (mil) FY (3 Mo) Inc Statement Currency,Deferred Tax (mil) FY 1 Inc Statement Currency,Deferred Tax (mil) FY Cum (6 Mo) Inc Statement Currency,Deferred Tax (mil) FY Cum (9 Mo) Inc Statement Currency,Deferred Tax (mil) Last FY Qtr Inc Statement Currency,Deferred Taxes (mil) FY 1 Inc Statement Currency,Dep & Amort Depletion (mil) FY (3 Mo) Inc Statement Currency,Dep & Amort Depletion (mil) FY 1 Inc Statement Currency,Dep & Amort Depletion (mil) FY Cum (6 Mo) Inc Statement Currency,Dep & Amort Depletion (mil) FY Cum (9 Mo) Inc Statement Currency,Dep & Amort Depletion (mil) Last FY Qtr Inc Statement Currency,Deprec & Amort Yr 1 in Mil Inc Statement Currency,Financial Leverage (FY Qtr End),Financial Leverage 1 Yr - FY1,Financial Leverage 1 Yr - FY10,Financial Leverage 1 Yr - FY2,Financial Leverage 1 Yr - FY3,Financial Leverage 1 Yr - FY4,Financial Leverage 1 Yr - FY5,Financial Leverage 1 Yr - FY6,Financial Leverage 1 Yr - FY7,Financial Leverage 1 Yr - FY8,Financial Leverage 1 Yr - FY9,Financial Leverage FY 1,Financial Leverage FY 2,Fixed Assets Turnover FY 1,Gain on Sale of Business (mil) FY (3 Mo) Inc Statement Currency,Gain on Sale of Business (mil) FY 1 Inc Statement Currency,Gain on Sale of Business (mil) FY Cum (6 Mo) Inc Statement Currency,Gain on Sale of Business (mil) FY Cum (9 Mo) Inc Statement Currency,Gain on Sale of Business (mil) Last FY Qtr Inc Statement Currency,Gain on Sale of PPE (mil) FY (3 Mo) Inc Statement Currency,Gain on Sale of PPE (mil) FY 1 Inc Statement Currency,Gain on Sale of PPE (mil) FY Cum (6 Mo) Inc Statement Currency,Gain on Sale of PPE (mil) FY Cum (9 Mo) Inc Statement Currency,Gain on Sale of PPE (mil) Last FY Qtr Inc Statement Currency,Gain on Sale of Security (mil) FY (3 Mo) Inc Statement Currency,Gain on Sale of Security (mil) FY 1 Inc Statement Currency,Gain on Sale of Security (mil) FY Cum (6 Mo) Inc Statement Currency,Gain on Sale of Security (mil) FY Cum (9 Mo) Inc Statement Currency,Gain on Sale of Security (mil) Last FY Qtr Inc Statement Currency,Goodwill (mil) FY 1 Inc Statement Currency,Goodwill (mil) Last FY Qtr Inc Statement Currency,Intangible Assets (mil) FY 1 Inc Statement Currency,Intangible Assets (mil) Last FY Qtr Inc Statement Currency,Intangibles (mil) FY 1 Inc Statement Currency,Inventory (mil) (FY Qtr End) Inc Statement Currency,Inventory (mil) FY 1 Inc Statement Currency,Inventory (mil) FY 1 Inc Statement Currency,Inventory (mil) Last FY Qtr Inc Statement Currency,Inventory Turnover FY 1,LT Cap Lease Oblig (mil) FY 1 Inc Statement Currency,LT Cap Lease Oblig (mil) Last FY Qtr Inc Statement Currency,LT Debt & Cap Lease Oblig (mil) FY 1 Inc Statement Currency,LT Debt & Cap Lease Oblig (mil) Last FY Qtr Inc Statement Currency,LT Debt (mil) FY 1 Inc Statement Currency,LT Debt (mil) Last FY Qtr Inc Statement Currency,Long Term Debt Iss (mil) FY (3 Mo) Inc Statement Currency,Long Term Debt Iss (mil) FY 1 Inc Statement Currency,Long Term Debt Iss (mil) FY Cum (6 Mo) Inc Statement Currency,Long Term Debt Iss (mil) FY Cum (9 Mo) Inc Statement Currency,Long Term Debt Iss (mil) Last FY Qtr Inc Statement Currency,Long Term Debt Payments (mil) FY (3 Mo) Inc Statement Currency,Long Term Debt Payments (mil) FY 1 Inc Statement Currency,Long Term Debt Payments (mil) FY Cum (6 Mo) Inc Statement Currency,Long Term Debt Payments (mil) FY Cum (9 Mo) Inc Statement Currency,Long Term Debt Payments (mil) Last FY Qtr Inc Statement Currency,Long-term Liabilities Q1 in Mil Inc Statement Currency,Long-term Liabilities Yr 1 in Mil Inc Statement Currency,Net Business Purch & Sale (mil) FY (3 Mo) Inc Statement Currency,Net Business Purch & Sale (mil) FY 1 Inc Statement Currency,Net Business Purch & Sale (mil) FY Cum (6 Mo) Inc Statement Currency,Net Business Purch & Sale (mil) FY Cum (9 Mo) Inc Statement Currency,Net Business Purch & Sale (mil) Last FY Qtr Inc Statement Currency,Net Intangibles Purch & Sale (mil) FY (3 Mo) Inc Statement Currency,Net Intangibles Purch & Sale (mil) FY 1 Inc Statement Currency,Net Intangibles Purch & Sale (mil) FY Cum (6 Mo) Inc Statement Currency,Net Intangibles Purch & Sale (mil) FY Cum (9 Mo) Inc Statement Currency,Net Intangibles Purch & Sale (mil) Last FY Qtr Inc Statement Currency,Net Inv Purch and Sale (mil) FY 1 Inc Statement Currency,Net Inv Purch and Sale (mil) Last FY Qtr Inc Statement Currency,Net Investment Purch and Sale (mil) FY (3 Mo) Inc Statement Currency,Net Investment Purch and Sale (mil) FY Cum (6 Mo) Inc Statement Currency,Net Investment Purch and Sale (mil) FY Cum (9 Mo) Inc Statement Currency,Net Long Term Debt Iss (mil) FY (3 Mo) Inc Statement Currency,Net Long Term Debt Iss (mil) FY 1 Inc Statement Currency,Net Long Term Debt Iss (mil) FY Cum (6 Mo) Inc Statement Currency,Net Long Term Debt Iss (mil) FY Cum (9 Mo) Inc Statement Currency,Net Long Term Debt Iss (mil) Last FY Qtr Inc Statement Currency,Net Short Term Debt Iss (mil) FY (3 Mo) Inc Statement Currency,Net Short Term Debt Iss (mil) FY 1 Inc Statement Currency,Net Short Term Debt Iss (mil) FY Cum (6 Mo) Inc Statement Currency,Net Short Term Debt Iss (mil) FY Cum (9 Mo) Inc Statement Currency,Net Short Term Debt Iss (mil) Last FY Qtr Inc Statement Currency,Noncurrent Assets (mil) (FY Qtr End) Inc Statement Currency,Noncurrent Assets (mil) FY 1 Inc Statement Currency,Non-Current Accrued Liab (mil) FY 1 Inc Statement Currency,Non-Current Accrued Liab (mil) Last FY Qtr Inc Statement Currency,Non-Current Def Tax Assets (mil) FY 1 Inc Statement Currency,Non-Current Def Tax Assets (mil) Last FY Qtr Inc Statement Currency,Non-Current Def Tax Liab (mil) FY 1 Inc Statement Currency,Non-Current Def Tax Liab (mil) Last FY Qtr Inc Statement Currency,Non-Current Note Receivables (mil) FY 1 Inc Statement Currency,Non-Current Note Receivables (mil) Last FY Qtr Inc Statement Currency,Purch of Business (mil) FY (3 Mo) Inc Statement Currency,Purch of Business (mil) FY 1 Inc Statement Currency,Purch of Business (mil) FY Cum (6 Mo) Inc Statement Currency,Purch of Business (mil) FY Cum (9 Mo) Inc Statement Currency,Purch of Business (mil) Last FY Qtr Inc Statement Currency,Purch of Intangibles (mil) FY (3 Mo) Inc Statement Currency,Purch of Intangibles (mil) FY 1 Inc Statement Currency,Purch of Intangibles (mil) FY Cum (6 Mo) Inc Statement Currency,Purch of Intangibles (mil) FY Cum (9 Mo) Inc Statement Currency,Purch of Intangibles (mil) Last FY Qtr Inc Statement Currency,Rsrch & Dev (mil) FY (3 Mo) Inc Statement Currency,Rsrch & Dev (mil) FY 1 Inc Statement Currency,Rsrch & Dev (mil) FY Cum (6 Mo) Inc Statement Currency,Rsrch & Dev (mil) FY Cum (9 Mo) Inc Statement Currency,Rsrch & Dev (mil) Last FY Qtr Inc Statement Currency,Rsrch & Dev (mil) FY (3 Mo) Inc Statement Currency,Rsrch & Dev (mil) FY 1 Inc Statement Currency,Rsrch & Dev (mil) FY Cum (6 Mo) Inc Statement Currency,Rsrch & Dev (mil) FY Cum (9 Mo) Inc Statement Currency,Rsrch & Dev (mil) Last FY Qtr Inc Statement Currency,Rsrch & Dev (mil) FY (3 Mo) Inc Statement Currency,Rsrch & Dev (mil) FY 1 Inc Statement Currency,Rsrch & Dev (mil) FY Cum (6 Mo) Inc Statement Currency,Rsrch & Dev (mil) FY Cum (9 Mo) Inc Statement Currency,Rsrch & Dev (mil) Last FY Qtr Inc Statement Currency
Apple Inc,AAPL,"20,879.00","12,843.00",,,,,,"133,240.00","152,987.00","152,987.00","133,240.00","1,575.00",,"20,879.00","12,843.00","5,546.00","5,546.00",,,"144,365.00","176,392.00","144,365.00","176,392.00",0.92,0.87,0.39,1.26,1.51,1.53,60.09,60.52,55.71,"8,249.00","8,461.00","8,249.00","8,461.00",682.00,895.00,"1,088.00","2,756.00","-1,861.00",,,,,,,,5.15,6.41,2.43,5.67,6.96,5.56,4.96,3.74,3.41,2.80,2.51,6.41,5.67,8.75,,,,,,,,,,,,,,,,"5,717.00","5,889.00","8,015.00","8,038.00",,"6,911.00","7,286.00","7,286.00","6,911.00",30.90,"11,267.00",,"85,750.00","83,956.00","85,750.00","83,956.00","2,210.00",0.00,0.00,0.00,0.00,"-1,009.00","-9,958.00","-3,150.00","-7,400.00","-1,009.00","132,962.00","131,638.00",-9.00,-306.00,-167.00,-169.00,-137.00,-154.00,,,,,"13,690.00","13,335.00","13,335.00","6,734.00","9,146.00","-1,009.00","-9,958.00","-3,150.00","-7,400.00","-1,009.00","-7,944.00","3,960.00","-3,982.00","-2,985.00","-7,944.00","210,845.00","211,993.00",,,"19,499.00","19,499.00",426.00,426.00,,,-9.00,-306.00,-167.00,-169.00,-137.00,-154.00,,,,,"8,268.00","31,370.00","15,599.00","23,605.00","8,268.00","8,268.00","31,370.00","15,599.00","23,605.00","8,268.00","8,268.00","31,370.00","15,599.00","23,605.00","8,268.00"
Airbnb Inc Ordinary Shares - Class A,ABNB,63.00,"2,057.00",207.00,-237.00,-202.00,117.00,207.00,"21,295.00","17,180.00","17,180.00","21,295.00",63.00,61.00,26.76,"1,996.00",,,206.00,253.00,"16,730.00","10,161.00","16,730.00","10,161.00",1.27,1.69,1.71,0.03,0.27,0.27,20.96,21.55,2.73,"1,616.00","2,723.00","1,616.00","2,723.00",,433.00,65.00,304.00,129.00,433.00,,,,,,,3.16,2.49,,2.53,2.88,2.87,3.62,,,,,2.49,2.53,38.95,,,,,,,,,,,,,,,,750.00,750.00,777.00,775.00,777.00,,,,,,236.00,223.00,"2,231.00",223.00,"1,995.00","1,995.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,389.00,"2,386.00",,0.00,,0.00,0.00,,,,,,-541.00,-143.00,-143.00,-172.00,-370.00,0.00,0.00,0.00,0.00,0.00,,,,,,"3,761.00","3,779.00",,,"2,439.00","2,459.00",,,,,,0.00,,0.00,0.00,,,,,,568.00,"2,056.00",994.00,"1,518.00",568.00,568.00,"2,056.00",994.00,"1,518.00",568.00,568.00,"2,056.00",994.00,"1,518.00",568.00
Adobe Inc,ADBE,"1,574.00",74.00,-12.00,-9.00,-2.00,10.00,-12.00,"10,855.00","11,232.00","11,232.00","10,855.00",75.00,74.00,"1,499.00","1,499.00",0.00,0.00,,,"9,163.00","10,521.00","9,163.00","10,521.00",1.18,1.07,-0.09,0.50,0.32,0.24,24.11,19.52,33.13,"6,131.00","6,347.00","6,131.00","6,347.00",-169.00,-468.00,-238.00,-341.00,-169.00,-468.00,41.00,169.00,84.00,127.00,41.00,169.00,2.29,2.14,1.67,1.80,1.93,1.84,1.83,1.97,2.00,1.72,1.71,2.14,1.80,9.34,,,,,,,,,,,6.00,18.00,22.00,34.00,6.00,"12,788.00","12,777.00","13,570.00","13,483.00","13,570.00",,,,,,353.00,334.00,"4,482.00","6,489.00","4,129.00","6,155.00","1,997.00","1,997.00","1,997.00","1,997.00","1,997.00","-1,500.00",0.00,0.00,0.00,"-1,500.00","7,697.00","5,604.00",0.00,0.00,0.00,0.00,0.00,-6.51,-27.78,-10.80,-12.38,-1.58,332.00,-458.00,-458.00,255.00,265.00,497.00,"1,997.00","1,997.00","1,997.00",497.00,,,,,,"19,100.00","18,998.00",3.21,3.21,"1,657.00","1,820.00",5.00,3.00,,,0.00,0.00,0.00,0.00,0.00,-9.39,-29.92,-13.70,-15.29,-1.59,"1,026.00","3,944.00","1,923.00","2,945.00","1,026.00","1,026.00","3,944.00","1,923.00","2,945.00","1,026.00","1,026.00","3,944.00","1,923.00","2,945.00","1,026.00"
Applied Materials Inc,AMAT,887.00,880.00,,,,,,"20,694.00","21,220.00","21,220.00","20,694.00",87.00,81.00,800.00,799.00,0.00,0.00,,,"7,736.00","8,468.00","7,736.00","8,468.00",2.68,2.51,-1.16,0.31,0.30,0.35,23.14,25.90,23.46,"2,849.00","2,452.00","2,849.00","2,452.00",668.00,-633.00,-206.00,-385.00,668.00,-633.00,,,,,,,1.79,1.81,2.01,1.88,2.19,2.11,2.11,2.32,2.58,2.08,2.02,1.81,1.88,7.86,,,,,,,,,,,,,,,,"3,732.00","3,768.00","3,981.00","4,005.00","3,981.00","5,501.00","5,421.00","5,421.00","5,501.00",2.56,259.00,247.00,"5,719.00","5,708.00","5,460.00","5,461.00",1.00,694.00,0.00,694.00,0.00,0.00,-102.00,-213.00,-312.00,0.00,"6,977.00","6,940.00",-28.00,0.00,0.00,0.00,-28.00,,,,,,"-1,137.00",-488.00,-488.00,-110.00,-473.00,0.00,592.00,-213.00,382.00,0.00,0.00,1.00,200.00,300.00,0.00,"12,644.00","13,189.00",,,"2,393.00","1,719.00",1.00,8.00,,,-28.00,0.00,0.00,0.00,-28.00,,,,,,859.00,"3,233.00","1,539.00","2,375.00",859.00,859.00,"3,233.00","1,539.00","2,375.00",859.00,859.00,"3,233.00","1,539.00","2,375.00",859.00
Advanced Micro Devices Inc,AMD,751.00,750.00,,,,,,"19,049.00","19,049.00","19,049.00","19,049.00",43.00,43.00,751.00,750.00,,,,,"7,281.00","7,281.00","7,281.00","7,281.00",2.62,2.62,-0.72,0.04,0.04,0.04,3.70,3.87,3.70,544.00,544.00,544.00,544.00,-66.00,"-1,163.00",-256.00,-863.00,-300.00,"-1,163.00",392.00,"1,448.00",764.00,"1,116.00",332.00,"1,448.00",1.20,1.20,,1.21,1.23,1.66,1.54,2.13,3.60,5.96,7.98,1.20,1.21,11.10,,,,,,,,,,,,,,,,"24,839.00","24,839.00","43,769.00","43,769.00","43,769.00","5,734.00","5,734.00","5,734.00","5,734.00",2.59,491.00,491.00,"2,212.00","2,212.00","1,721.00","1,721.00",,0.00,0.00,0.00,0.00,0.00,-750.00,-750.00,-750.00,0.00,"4,377.00","4,377.00",0.00,-565.00,0.00,-565.00,0.00,,,,,,198.00,"-1,037.00",10.00,639.00,"1,235.00",0.00,-750.00,-750.00,-750.00,0.00,,0.00,0.00,0.00,0.00,"50,177.00","50,177.00",,,688.00,688.00,349.00,349.00,,,,-565.00,0.00,-565.00,0.00,,,,,,"1,525.00","6,456.00","3,108.00","4,744.00","1,712.00","1,525.00","6,456.00","3,108.00","4,744.00","1,712.00","1,525.00","6,456.00","3,108.00","4,744.00","1,712.00"
APA Corp,APA,171.00,171.00,,,,,,"3,404.00","3,404.00","3,404.00","3,404.00",118.00,118.00,53.00,53.00,769.00,84.00,,,"2,955.00","2,955.00","2,955.00","2,955.00",1.15,1.15,4.38,1.13,1.13,1.95,53.15,66.14,53.15,,,,,-65.00,-736.00,-42.00,-503.00,-233.00,-736.00,,,,,,,3.67,3.67,3.23,5.74,31.08,,,5.56,3.03,2.96,3.61,3.67,5.74,0.86,7.00,289.00,283.00,284.00,5.00,,,,,,-70.00,-283.00,-90.00,-100.00,-183.00,87.00,87.00,87.00,87.00,,425.00,425.00,425.00,425.00,12.38,,,"5,991.00","5,991.00","5,991.00","5,991.00",33.00,"1,500.00","1,500.00","1,500.00",0.00,0.00,"-2,713.00","-2,113.00","-2,613.00",-100.00,"10,073.00","10,073.00",428.00,428.00,428.00,428.00,0.00,,,,,,228.00,428.00,428.00,0.00,0.00,0.00,"-1,213.00",-613.00,"-1,113.00",-100.00,-2.00,-40.00,63.00,190.00,-230.00,"15,986.00","15,986.00",,,"2,703.00","2,703.00",14.00,14.00,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,
ASML Holding NV ADR,ASML,"1,010.30","1,010.30",-11.80,6.40,-1.50,-5.70,-11.80,"27,524.40","30,737.40","30,737.40","27,524.40",,,"1,010.30","1,010.30",0.00,0.00,0.00,0.00,"18,123.90","20,051.40","18,123.90","20,051.40",1.52,1.53,-0.20,0.21,0.20,0.34,16.60,25.61,17.38,"12,570.80","12,570.80","12,570.80","12,570.80",79.10,-144.80,-1.90,-116.50,79.10,-144.80,,,,,,,2.60,2.63,1.58,2.97,4.12,2.98,1.97,1.80,1.73,1.69,1.75,2.63,2.97,4.34,,,,,,,,,,,,,,,,"4,588.60","4,588.60","5,209.90","5,180.20","5,209.90","11,024.70","10,891.50","10,891.50","11,024.70",1.40,,,"3,677.30","3,681.00","3,677.30","3,681.00",0.40,22.50,0.00,0.00,0.40,-0.60,-25.70,-0.90,-1.60,-24.10,"9,854.20","10,061.40",0.00,0.00,0.00,0.00,0.00,-1.50,-15.90,-13.50,-14.40,-1.50,0.00,0.00,0.00,-200.10,0.00,0.40,-3.20,-0.90,-1.60,0.40,,,,,,"17,954.40","17,852.20",459.50,436.70,"1,940.70","1,861.00",299.20,335.90,"1,456.60","1,443.40",0.00,0.00,-10.50,0.00,0.00,-1.50,-15.90,-13.50,-14.40,-1.50,"1,161.10","4,303.70","2,132.50","3,187.70","1,161.10","1,161.10","4,303.70","2,132.50","3,187.70","1,161.10","1,161.10","4,303.70","2,132.50","3,187.70","1,161.10"
Broadcom Inc,AVGO,"1,271.00","5,653.00",,,,,,"20,990.00","19,595.00","19,595.00","20,990.00",26.00,11.00,"1,245.00","5,642.00",32.00,234.00,123.00,60.00,"20,910.00","16,697.00","20,910.00","16,697.00",1.00,1.17,2.53,0.87,0.98,1.57,49.48,61.06,46.61,"9,395.00","9,908.00","9,395.00","9,908.00",-696.00,"1,965.00",-805.00,"2,833.00",-696.00,"1,965.00",511.00,"3,244.00","1,619.00","2,431.00",511.00,"3,244.00",2.37,2.45,2.23,3.04,3.23,3.03,3.18,2.71,1.88,2.68,2.64,2.45,3.04,22.06,,,,,,,,,,,,-12.00,,,,"97,873.00","97,871.00","138,456.00","136,454.00","138,456.00","1,908.00","1,760.00","1,760.00","1,908.00",10.42,13.00,11.00,"66,295.00","60,926.00","66,282.00","60,915.00","2,986.00","39,954.00","30,010.00","34,985.00","2,986.00","-8,090.00","-19,608.00","-2,934.00","-12,136.00","-8,090.00","74,659.00","81,270.00",0.00,"-22,493.00","-25,976.00","-22,493.00",0.00,,,,,,-19.00,-87.00,-87.00,59.00,-9.00,"-5,104.00","20,346.00","27,076.00","22,849.00","-5,104.00","3,980.00",,,,"3,980.00","144,368.00","146,050.00",,,,,"4,703.00","4,017.00",,,0.00,"-25,978.00","-25,976.00","-25,978.00",0.00,,,,,,"2,253.00","9,310.00","4,723.00","7,076.00","2,253.00","2,253.00","9,310.00","4,723.00","7,076.00","2,253.00","2,253.00","9,310.00","4,723.00","7,076.00","2,253.00"
ConocoPhillips,COP,"1,035.00","1,035.00",-73.00,-133.00,-69.00,-28.00,-105.00,"15,647.00","15,647.00","15,647.00","15,647.00",292.00,292.00,743.00,743.00,,,,,"12,124.00","12,124.00","12,124.00","12,124.00",1.29,1.29,1.72,0.36,0.36,0.36,26.44,26.60,26.44,,,,,87.00,367.00,211.00,249.00,118.00,367.00,,,,,,,1.89,1.89,2.45,1.95,1.95,2.00,2.10,2.02,2.19,2.40,2.57,1.89,1.95,0.67,,,,,,93.00,51.00,88.00,86.00,-35.00,18.00,50.00,9.00,37.00,13.00,,,,,,"1,809.00","1,809.00","1,809.00","1,809.00",23.92,648.00,648.00,"23,289.00","23,289.00","22,641.00","22,641.00",0.00,"5,591.00",0.00,0.00,"5,591.00",-505.00,"-4,981.00",-563.00,-607.00,"-4,374.00","45,860.00","45,860.00",49.00,-24.00,49.00,49.00,-73.00,,,,,,415.00,"1,014.00",405.00,-794.00,-599.00,-505.00,610.00,-563.00,-607.00,"1,217.00",,,,,,"107,133.00","107,133.00",,,,,"11,426.00","11,426.00",0.00,0.00,,-24.00,,,,,,,,,,,,,,,,,,,,,,,
Crocs Inc,CROX,68.55,68.55,-1.58,-6.51,-2.75,0.43,-6.94,872.27,872.27,872.27,872.27,68.55,68.55,23.33,23.33,4.19,3.86,11.87,11.68,740.21,740.21,740.21,740.21,1.18,1.18,-1.76,0.89,0.89,1.31,47.07,56.79,47.07,3.74,10.10,3.74,10.10,,-254.45,0.00,0.00,-4.76,-254.45,,46.77,,,,46.77,2.62,2.62,2.47,3.19,5.50,109.72,3.85,5.60,3.12,2.93,2.57,2.62,3.19,7.62,,,,,,,,,,,-2.27,-6.78,-3.60,-3.93,-2.85,711.49,711.49,"2,488.57","2,488.57","2,488.57",356.25,356.25,356.25,356.25,4.56,283.41,283.41,"1,632.75","1,632.75","1,349.34","1,349.34",78.16,102.16,78.16,78.16,24.00,-16.41,-425.41,-216.41,-326.41,-99.00,"2,236.21","2,236.21",0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,61.75,-323.25,-138.25,-248.25,-75.00,,,,,,"3,939.88","3,939.88",0.23,0.23,872.35,872.35,4.09,4.09,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,
